Task Number,Task,Fitness Score,Program,Primitives
0,00576224.json,"(np.float64(5.0), np.float64(36.0), np.float64(4.0), np.float64(5.0))",splitH_lifted >> negative_lifted,"negative_lifted, splitH_lifted"
1,009d5c81.json,"(np.float64(2.0), np.float64(196.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> tail >> negative_lifted,"groupByColor_lifted, negative_lifted, tail"
2,00dbd492.json,"(np.float64(2.0), np.float64(137.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
3,03560426.json,"(np.float64(5.0), np.float64(80.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> intersect >> negative_lifted,"groupByColor_lifted, intersect, negative_lifted"
4,05a7bcf2.json,"(np.float64(5.0), np.float64(656.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
5,0607ce86.json,"(np.float64(2.0), np.float64(454.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
6,0692e18c.json,"(np.float64(3.0), np.float64(21.0), np.float64(6.0), np.float64(8.0))",splitH_lifted >> intersect >> negative_lifted,"intersect, negative_lifted, splitH_lifted"
7,070dd51e.json,"(np.float64(6.0), np.float64(181.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
8,08573cc6.json,"(np.float64(2.0), np.float64(91.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted,"groupByColor_lifted, negative_lifted"
9,0934a4d8.json,"(np.float64(6.0), np.float64(879.0), np.float64(23.0), np.float64(27.0))",negative_lifted >> negative_lifted,negative_lifted
10,09c534e7.json,"(np.float64(3.0), np.float64(324.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
11,0a1d4ef5.json,"(np.float64(3.0), np.float64(533.0), np.float64(27.0), np.float64(27.0))",union,union
12,0a2355a6.json,"(np.float64(5.0), np.float64(210.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
13,0b17323b.json,"(np.float64(1.0), np.float64(224.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
14,0bb8deee.json,"(np.float64(3.0), np.float64(173.0), np.float64(6.0), np.float64(10.0))",groupByColor_lifted >> negative_lifted >> tail,"groupByColor_lifted, negative_lifted, tail"
15,0becf7df.json,"(np.float64(5.0), np.float64(100.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
