Task Number,Task,Fitness Scores
0,00576224.json,"(np.float64(3.0), np.float64(35.0), np.float64(5.0), np.float64(5.0))"
1,009d5c81.json,"(np.float64(2.0), np.float64(22.0), np.float64(11.0), np.float64(11.0))"
2,00dbd492.json,"(np.float64(2.0), np.float64(56.0), np.float64(2.0), np.float64(0.0))"
3,03560426.json,"(np.float64(3.0), np.float64(21.0), np.float64(9.0), np.float64(5.0))"
4,05a7bcf2.json,"(np.float64(3.0), np.float64(381.0), np.float64(0.0), np.float64(26.0))"
5,0607ce86.json,"(np.float64(2.0), np.float64(159.0), np.float64(8.0), np.float64(9.0))"
6,0692e18c.json,"(np.float64(0.0), np.float64(24.0), np.float64(6.0), np.float64(6.0))"
7,070dd51e.json,"(np.float64(4.0), np.float64(31.0), np.float64(4.0), np.float64(19.0))"
8,08573cc6.json,"(np.float64(3.0), np.float64(55.0), np.float64(11.0), np.float64(11.0))"
9,0934a4d8.json,"(np.float64(7.0), np.float64(65.0), np.float64(23.0), np.float64(27.0))"
10,09c534e7.json,"(np.float64(3.0), np.float64(147.0), np.float64(2.0), np.float64(1.0))"
11,0a1d4ef5.json,"(np.float64(7.0), np.float64(227.0), np.float64(27.0), np.float64(27.0))"
12,0a2355a6.json,"(np.float64(5.0), np.float64(62.0), np.float64(2.0), np.float64(0.0))"
13,0b17323b.json,"(np.float64(1.0), np.float64(1.0), np.float64(6.0), np.float64(6.0))"
14,0bb8deee.json,"(np.float64(3.0), np.float64(16.0), np.float64(3.0), np.float64(3.0))"
15,0becf7df.json,"(np.float64(3.0), np.float64(16.0), np.float64(5.0), np.float64(5.0))"
16,0c786b71.json,"(np.float64(2.0), np.float64(46.0), np.float64(6.0), np.float64(5.0))"
17,0c9aba6e.json,"(np.float64(2.0), np.float64(17.0), np.float64(0.0), np.float64(0.0))"
18,0d87d2a6.json,"(np.float64(1.0), np.float64(87.0), np.float64(0.0), np.float64(0.0))"
19,0e671a1a.json,"(np.float64(4.0), np.float64(24.0), np.float64(12.0), np.float64(12.0))"
20,0f63c0b9.json,"(np.float64(3.0), np.float64(94.0), np.float64(14.0), np.float64(14.0))"
21,103eff5b.json,"(np.float64(4.0), np.float64(61.0), np.float64(11.0), np.float64(21.0))"
22,11e1fe23.json,"(np.float64(4.0), np.float64(8.0), np.float64(10.0), np.float64(11.0))"
23,12422b43.json,"(np.float64(4.0), np.float64(14.0), np.float64(5.0), np.float64(6.0))"
24,12997ef3.json,"(np.float64(3.0), np.float64(4.0), np.float64(0.0), np.float64(3.0))"
25,12eac192.json,"(np.float64(4.0), np.float64(4.0), np.float64(2.0), np.float64(1.0))"
26,136b0064.json,"(np.float64(3.0), np.float64(19.0), np.float64(4.0), np.float64(8.0))"
27,13713586.json,"(np.float64(4.0), np.float64(155.0), np.float64(16.0), np.float64(15.0))"
