Task Number,Task,Fitness Score,Program,Primitives
0,007bbfb7.json,"(np.float64(0.0), np.float64(29.0), np.float64(6.0), np.float64(6.0))",negative_lifted,negative_lifted
1,00d62c1b.json,"(np.float64(1.0), np.float64(369.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
2,017c7c7b.json,"(np.float64(2.0), np.float64(22.0), np.float64(0.0), np.float64(3.0))",negative_lifted,negative_lifted
3,025d127b.json,"(np.float64(0.0), np.float64(60.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
4,045e512c.json,"(np.float64(2.0), np.float64(420.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
5,0520fde7.json,"(np.float64(4.0), np.float64(19.0), np.float64(4.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> union,"groupByColor_lifted, negative_lifted, union"
6,05269061.json,"(np.float64(1.0), np.float64(47.0), np.float64(5.0), np.float64(6.0))",splitH_lifted >> splitH_lifted >> cropToContent_lifted,"cropToContent_lifted, splitH_lifted"
7,05f2a901.json,"(np.float64(1.0), np.float64(100.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> reverse,"groupByColor_lifted, negative_lifted, reverse"
8,06df4c85.json,"(np.float64(4.0), np.float64(493.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
9,08ed6ac7.json,"(np.float64(5.0), np.float64(81.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
10,09629e4f.json,"(np.float64(8.0), np.float64(78.0), np.float64(0.0), np.float64(9.0))",splitH_lifted >> splitH_lifted >> union,"splitH_lifted, union"
11,0962bcdd.json,"(np.float64(3.0), np.float64(120.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
12,0a938d79.json,"(np.float64(1.0), np.float64(154.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
13,0b148d64.json,"(np.float64(1.0), np.float64(163.0), np.float64(11.0), np.float64(10.0))",groupByColor_lifted >> sortByWeight >> cropToContent_lifted,"cropToContent_lifted, groupByColor_lifted, sortByWeight"
14,0ca9ddb6.json,"(np.float64(4.0), np.float64(73.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
15,0d3d703e.json,"(np.float64(4.0), np.float64(8.0), np.float64(2.0), np.float64(2.0))",groupByColor_lifted >> splitH_lifted >> cropToContent_lifted,"cropToContent_lifted, groupByColor_lifted, splitH_lifted"
16,0dfd9992.json,"(np.float64(6.0), np.float64(441.0), np.float64(0.0), np.float64(11.0))",splitH_lifted >> groupByColor_lifted >> intersect,"groupByColor_lifted, intersect, splitH_lifted"
17,0e206a2e.json,"(np.float64(10.0), np.float64(214.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> union,"groupByColor_lifted, negative_lifted, union"
18,10fcaaa3.json,"(np.float64(5.0), np.float64(22.0), np.float64(4.0), np.float64(6.0))",splitH_lifted >> negative_lifted >> union,"negative_lifted, splitH_lifted, union"
19,11852cab.json,"(np.float64(2.0), np.float64(97.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
20,1190e5a7.json,"(np.float64(2.0), np.float64(699.0), np.float64(22.0), np.float64(21.0))",negative_lifted >> negative_lifted,negative_lifted
21,137eaa0f.json,"(np.float64(0.0), np.float64(14.0), np.float64(8.0), np.float64(8.0))",intersect,intersect
22,150deff5.json,"(np.float64(3.0), np.float64(72.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
23,178fcbfb.json,"(np.float64(2.0), np.float64(68.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
